Version,Grade,Unit,Lesson,TG Page,Item,Depth of Knowledge (DOK),,,,
FLC,0,1,1,18a,1,1,,,,
FLC,0,1,1,18a,2,1,,,,
FLC,0,1,1,18b,3,1,,,,
FLC,0,1,1,18b,4,1,,,,
FLC,0,1,2,38a,1,1,,,,
FLC,0,1,2,38a,2,1,,,,
FLC,0,1,2,38a,3,1,,,,
FLC,0,1,2,38b,4,2,,,,
FLC,0,1,3,58a,1,1,,,,
FLC,0,1,3,58a,2,1,,,,
FLC,0,1,3,58a,3,1,,,,
FLC,0,1,3,58b,4,1,,,,
FLC,0,1,3,58b,5,1,,,,
FLC,0,1,4,78a,1,2,,,,
FLC,0,1,4,78a,2,2,,,,
FLC,0,1,4,78a,3,2,,,,
FLC,0,1,4,78b,4,2,,,,
FLC,0,1,4,78b,5,2,,,,
FLC,0,1,5,98a,1,1,,,,
FLC,0,1,5,98a,2,1,,,,
FLC,0,1,5,98a,3,1,,,,
FLC,0,1,5,98b,4,2,,,,
FLC,0,1,5,98b,5,2,,,,
FLC,0,1,,100,1,1,,,,
FLC,0,1,,100,2,1,,,,
FLC,0,1,,101,3,1,,,,
FLC,0,1,,101,4,2,,,,
FLC,0,1,,102,5,2,,,,
FLC,0,1,,102,6,1,,,,
FLC,0,1,,102a,7,1,,,,
FLC,0,1,,102a,8,1,,,,
FLC,0,1,,102a,9,2,,,,
FLC,0,1,,102a,10,2,,,,
FLC,0,1,,102b,11,1,,,,
FLC,0,1,,102b,12,1,,,,
FLC,0,1,,102b,13,3,,,,
FLC,0,2,6,124a,1,1,,,,
FLC,0,2,6,124a,2,1,,,,
FLC,0,2,6,124a,3,1,,,,
FLC,0,2,6,124b,4,1,,,,
FLC,0,2,7,140a,1,1,,,,
FLC,0,2,7,140a,2,1,,,,
FLC,0,2,7,140a,3,1,,,,
FLC,0,2,7,140b,4,1,,,,
FLC,0,2,7,140b,5,1,,,,
FLC,0,2,7,140b,6,1,,,,
FLC,0,2,8,160a,1,2,,,,
FLC,0,2,8,160a,2,2,,,,
FLC,0,2,8,160a,3,2,,,,
FLC,0,2,8,160b,4,2,,,,
FLC,0,2,8,160b,5,2,,,,
FLC,0,2,9,180a,1,2,,,,
FLC,0,2,9,180a,2,2,,,,
FLC,0,2,9,180a,3,2,,,,
FLC,0,2,9,180b,4,2,,,,
FLC,0,2,10,200a,1,2,,,,
FLC,0,2,10,200a,2,2,,,,
FLC,0,2,10,200a,3,2,,,,
FLC,0,2,10,200b,4,2,,,,
FLC,0,2,10,200b,5,2,,,,
FLC,0,2,,202,1,1,,,,
FLC,0,2,,202,2,2,,,,
FLC,0,2,,203,3,2,,,,
FLC,0,2,,203,4,1,,,,
FLC,0,2,,204,5,2,,,,
FLC,0,2,,204a,6,2,,,,
FLC,0,2,,204a,7,1,,,,
FLC,0,2,,204a,8,1,,,,
FLC,0,2,,204a,9,2,,,,
