Version,Grade,Unit,Lesson,	page,	item,	context,	issues
	FLC,	0,	1,,	100,	Review,	soccer balls,	
	FLC,	0,	1,,	100,	Review,	connecting cubes,	
	FLC,	0,	1,,	102,	Review,	fish bowl ,	
	FLC,	0,	1,,	102a,	Assessment,	apples,	
	FLC,	0,	1,,	102b,	Assessment,	flower pot,	
	FLC,	0,	1,,	102b,	Assessment,	bears,	
	FLC,	0,	1,,	102b,	Assessment,	smiley/frowney face ,	
	FLC,	0,	1,	1,	4,	family letter,	buttons,	
	FLC,	0,	1,	1,	10,	Practice,	water bottles,	
	FLC,	0,	1,	1,	10,	Practice,	hats,	
	FLC,	0,	1,	1,	10,	Close,	worms,	
	FLC,	0,	1,	1,	12,	Practice,	pencils,	
	FLC,	0,	1,	1,	12,	Practice,	paint,	
	FLC,	0,	1,	1,	14,	Develop,	drawing,	
	FLC,	0,	1,	1,	14,	Develop,	paint,	
	FLC,	0,	1,	1,	14,	Close,	apples,	
	FLC,	0,	1,	1,	15,	Practice,	People,	
	FLC,	0,	1,	1,	15,	Practice,	shovels,	
	FLC,	0,	1,	1,	4,	family letter,	pennies,	
	FLC,	0,	1,	1,	15,	Fluency,	apples,	
	FLC,	0,	1,	1,	15,	Fluency,	ball,	
	FLC,	0,	1,	1,	15,	Fluency,	cat,	
	FLC,	0,	1,	1,	15,	Fluency,	butterflies,	
	FLC,	0,	1,	1,	15,	Fluency,	squirrels,	
	FLC,	0,	1,	1,	15,	Fluency,	baseballs,	
	FLC,	0,	1,	1,	16,	Practice,	balls,	
	FLC,	0,	1,	1,	16,	Practice,	buckets,	
	FLC,	0,	1,	1,	17,	Refine,	balls,	
	FLC,	0,	1,	1,	17,	Refine,	people,	
	FLC,	0,	1,	1,	4,	family letter,	beans,	
	FLC,	0,	1,	1,	17,	Start,	bird,	
	FLC,	0,	1,	1,	18,	Refine,	balls,	
	FLC,	0,	1,	1,	18,	Refine,	people,	
	FLC,	0,	1,	1,	18,	Close,	balls,	
	FLC,	0,	1,	1,	18a,	Quiz,	balls,	
	FLC,	0,	1,	1,	18a,	Quiz,	hats,	
	FLC,	0,	1,	1,	18b,	Quiz,	people,	
	FLC,	0,	1,	1,	18b,	Quiz,	balls,	
	FLC,	0,	1,	1,	 ,	,	,	
	FLC,	0,	1,	1,	4,	family letter,	sugary cereal,	unhealthy food
	FLC,	0,	1,	1,	5,	Explore,	art,	
	FLC,	0,	1,	1,	6,	Explore,	soccer game,	
	FLC,	0,	1,	1,	6,	Close,	birthday party and cake,	unhealthy food
	FLC,	0,	1,	1,	8,	Develop,	duck pond,	
	FLC,	0,	1,	1,	9,	Develop,	flower pot,	
	FLC,	0,	1,	1,	3,	family letter,	crayons,	Unnamed: 7
	FLC,	0,	1,	2,	20,	Family letter,	paper,	
	FLC,	0,	1,	2,	26,	Develop,	shovels,	
